                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2954,                 2.7854,                 1.2358,                0.59226,                0.74463,                 0.6975,                0.49982,                 1.1654,                 3.0284,                 1.1587,             0.00016362,             0.00016362,             0.00016362
                      2,                 1.0213,                 1.3519,                  1.074,                0.83591,                0.78995,                0.87004,                0.67391,                0.87846,                 1.4589,                0.95591,             0.00032967,             0.00032967,             0.00032967
                      3,                0.97061,                 1.0762,                  1.033,                0.77376,                0.90206,                0.90653,                0.69421,                 0.9115,                 2.2933,                 1.0299,             0.00048888,             0.00048888,             0.00048888
                      4,                0.93057,                 1.0198,                 1.0263,                0.92107,                    0.9,                0.93719,                 0.7085,                0.88768,                 1.3188,                 0.9473,             0.00064125,             0.00064125,             0.00064125
                      5,                0.90804,                0.92674,                  1.041,                0.87651,                 0.8949,                0.95116,                0.74212,                0.79018,                 1.1918,                0.95191,             0.00078679,             0.00078679,             0.00078679
                      6,                0.90261,                0.95416,                 1.0624,                0.79941,                0.82542,                0.90348,                0.69322,                0.79393,                 1.0787,                0.97432,             0.00081901,             0.00081901,             0.00081901
                      7,                0.82457,                0.88217,                 1.0171,                0.84156,                0.93865,                0.96208,                0.77542,                0.71294,                0.83446,                0.93296,             0.00080101,             0.00080101,             0.00080101
                      8,                0.83546,                0.80185,                 1.0052,                0.90494,                0.93002,                0.96816,                0.79732,                0.70695,                 1.0874,                0.92829,             0.00078301,             0.00078301,             0.00078301
                      9,                0.81025,                0.75614,                 1.0026,                0.91902,                 0.9623,                 0.9807,                0.81946,                0.68401,                0.74494,                0.88718,             0.00076501,             0.00076501,             0.00076501
                     10,                0.80469,                0.76608,                0.98491,                0.87418,                0.98017,                  0.995,                0.81656,                0.80833,                0.74226,                0.94614,             0.00074702,             0.00074702,             0.00074702
                     11,                0.78324,                0.71427,                0.98334,                 0.9657,                0.94545,                  0.995,                0.82388,                0.71946,                0.63292,                0.87957,             0.00072902,             0.00072902,             0.00072902
                     12,                0.77228,                 0.6752,                0.97435,                0.95193,                0.97431,                0.98437,                 0.8546,                0.57275,                0.50692,                0.85424,             0.00071102,             0.00071102,             0.00071102
                     13,                0.71784,                0.63136,                0.95886,                0.97752,                0.97143,                0.99024,                0.83192,                0.65198,                0.50992,                0.86676,             0.00069302,             0.00069302,             0.00069302
                     14,                0.69325,                0.58679,                0.94671,                0.98801,                      1,                  0.995,                0.88256,                0.53475,                0.43314,                0.84873,             0.00067502,             0.00067502,             0.00067502
                     15,                0.70488,                0.59582,                 0.9576,                0.98935,                      1,                  0.995,                0.88357,                0.54262,                0.43283,                0.83885,             0.00065703,             0.00065703,             0.00065703
                     16,                 0.6533,                 0.5646,                0.92923,                0.97467,                      1,                 0.9931,                0.86343,                0.57965,                0.48408,                0.84602,             0.00063903,             0.00063903,             0.00063903
                     17,                0.64968,                0.53666,                0.93397,                0.99017,                      1,                  0.995,                0.88325,                0.53629,                0.47132,                0.83436,             0.00062103,             0.00062103,             0.00062103
                     18,                0.65308,                0.52841,                0.93354,                0.95824,                      1,                  0.995,                0.87695,                0.58136,                0.45436,                0.84077,             0.00060303,             0.00060303,             0.00060303
                     19,                0.63487,                0.54057,                0.92372,                0.95631,                0.97854,                0.99024,                 0.8612,                0.58193,                0.45149,                0.85436,             0.00058503,             0.00058503,             0.00058503
                     20,                0.58327,                0.49595,                0.91386,                0.98402,                      1,                  0.995,                0.89574,                0.51733,                0.39254,                0.82594,             0.00056703,             0.00056703,             0.00056703
                     21,                0.60563,                0.48537,                 0.9214,                0.97276,                      1,                  0.995,                0.90004,                0.48091,                0.37902,                0.81614,             0.00054904,             0.00054904,             0.00054904
                     22,                0.61828,                0.50263,                0.92573,                0.99284,                      1,                  0.995,                0.88607,                0.50866,                0.37408,                0.83158,             0.00053104,             0.00053104,             0.00053104
                     23,                0.55828,                0.46505,                0.90556,                 0.9935,                      1,                  0.995,                  0.916,                0.46056,                0.34875,                 0.8176,             0.00051304,             0.00051304,             0.00051304
                     24,                0.52844,                0.43096,                0.89302,                0.99386,                      1,                  0.995,                0.91909,                0.44701,                0.34077,                 0.8043,             0.00049504,             0.00049504,             0.00049504
                     25,                0.54887,                0.43474,                0.90292,                0.99401,                      1,                  0.995,                  0.933,                0.41552,                0.33953,                0.80487,             0.00047704,             0.00047704,             0.00047704
                     26,                 0.5338,                0.43269,                0.90117,                0.99381,                      1,                  0.995,                0.93038,                0.41794,                0.31975,                0.80001,             0.00045904,             0.00045904,             0.00045904
                     27,                0.54648,                0.43255,                0.90649,                 0.9949,                      1,                  0.995,                0.92851,                0.40717,                0.31445,                0.79893,             0.00044105,             0.00044105,             0.00044105
                     28,                0.53066,                 0.4203,                0.89055,                0.99286,                      1,                  0.995,                 0.9124,                0.44398,                0.33769,                0.80917,             0.00042305,             0.00042305,             0.00042305
                     29,                0.51145,                0.40955,                0.88571,                0.99371,                      1,                  0.995,                0.95401,                0.34759,                0.30921,                0.79161,             0.00040505,             0.00040505,             0.00040505
                     30,                0.49067,                0.39757,                0.88857,                0.99497,                      1,                  0.995,                0.93901,                0.38814,                0.30146,                0.80093,             0.00038705,             0.00038705,             0.00038705
                     31,                0.48442,                0.38388,                0.87237,                0.99435,                      1,                  0.995,                0.93603,                0.37989,                0.30283,                0.79979,             0.00036905,             0.00036905,             0.00036905
